cep,logradouro,bairro,localidade,uf,lat,lng
06310395,"Estrada Porto de Areia","Vila Gustavo Correia",Carapicuíba,SP,-23.5203613,-46.8277116
06311070,"Rua Doutor João Veloso","Vila Terezinha",Carapicuíba,SP,-23.5196302,-46.8515200
06315030,"Rua Santa Luzia","Vila Santa Terezinha",Carapicuíba,SP,-23.5215863,-46.8459308
06317157,"Rua Guararema","Vila Rosa",Carapicuíba,SP,-23.5277142,-46.8473309
06317341,"Avenida General Teixeira Lott","Centro",Carapicuíba,SP,-23.5278816,-46.8407546
06320300,"Avenida Barueri","Vila Três Irmãos",Carapicuíba,SP,-23.5290406,-46.8365355
06321260,"Rua Tasso","Vila Ema",Carapicuíba,SP,-23.5372992,-46.8342324
06321520,"Rua Tapira","Vila Marcondes",Carapicuíba,SP,-23.5398535,-46.8297430
06322010,"Avenida Eugênia","Centro",Carapicuíba,SP,-23.5251541,-46.8324067
06322210,"Rua São Miguel","Jardim Boa Vista",Carapicuíba,SP,-23.5313072,-46.8344897
06326040,"Avenida São Paulo Apóstolo","Conjunto Habitacional Presidente Castelo Branco",Carapicuíba,SP,-23.5302237,-46.8273009
06326280,"Rua Piracicaba","Conjunto Habitacional Presidente Castelo Branco",Carapicuíba,SP,-23.5770576,-46.8234703
06327020,"Rua Garça","Conjunto Habitacional Presidente Castelo Branco",Carapicuíba,SP,-23.5311665,-46.8512375
06327280,"Rua Buritis","Conjunto Habitacional Presidente Castelo Branco",Carapicuíba,SP,-23.5370852,-46.8263373
06328130,"Rua Miranda","Conjunto Habitacional Presidente Castelo Branco",Carapicuíba,SP,-23.5254506,-46.8258685
06328310,"Rua Paraná","Vila Municipal",Carapicuíba,SP,-23.5407197,-46.8615156
06329020,"Rua Barbacena","Conjunto Habitacional Presidente Castelo Branco",Carapicuíba,SP,-23.5376994,-46.8232452
06330026,"Rua Salmo 91","Parque Jandaia",Carapicuíba,SP,-23.5499346,-46.8254073
06331008,"Estrada da Gabiroba","Jardim Guapiúva",Carapicuíba,SP,-23.5468447,-46.8214488
06331170,"Rua Carlos Marcos Calsolari","Vila Marcondes",Carapicuíba,SP,-23.5417262,-46.8307579
06332060,"Rua São Tomé","Vila Ester",Carapicuíba,SP,-23.5409230,-46.8293168
06332240,"Rua Edson","Vila Leopoldo",Carapicuíba,SP,-23.5462587,-46.8330674
06332390,"Rua Caviúna","Vila Veloso",Carapicuíba,SP,-23.5502702,-46.8291358
06333090,"Viela Campina Grande","Parque Jandaia",Carapicuíba,SP,-23.5582279,-46.8278614
06333320,"Rua Peruíbe","Jardim Santa Brígida",Carapicuíba,SP,-23.5599389,-46.8323336
06334000,"Estrada da Gabiroba","Jardim Santo Estêvão",Carapicuíba,SP,-23.5468447,-46.8214488
06340070,"Rua Pimenta","Jardim Mesquita",Carapicuíba,SP,-23.5686768,-46.8269597
06340260,"Rua Francisca Paskevicius","Parque Santa Teresa",Carapicuíba,SP,-23.5703419,-46.8243057
06341170,"Estrada Onda Verde","Parque Santa Teresa",Carapicuíba,SP,-23.5703919,-46.8200601
06341780,"Rua Pégaso","Jardim Novo Horizonte",Carapicuíba,SP,-23.5744555,-46.8189421
06342170,"Viela Lima","Jardim Helena",Carapicuíba,SP,-23.5824413,-46.8232685
06343250,"Rua Datas","Chácara Granja Velha",Carapicuíba,SP,-23.5750690,-46.8332626
06343500,"Rua Parapuã","Vila Dirce",Carapicuíba,SP,-23.5632007,-46.8363835
06345100,"Rua Aderbal Negrão","Palos Verdes",Carapicuíba,SP,-23.5742865,-46.8377071
